Time (Seconds),X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8
0,0.488236,1.06344,0.399014,,,,,,,,,,,,,,,,,,,,,
0.01,,,,,,,,,,,,,,,,,,,,,,,,
0.02,,,,,,,,,,,,,,,,,,,,,,,,
0.03,,,,,,,,,,,,,,,,,,,,,,,,
0.04,,,,,,,,,,,,,,,,,,,,,,,,
0.05,0.487726,1.063702,0.398505,,,,,,,,,,,,,,,,,,,,,
0.06,0.487732,1.063805,0.398314,,,,,,,,,,,,,,,,,,,,,
0.07,0.487641,1.063851,0.398218,,,,,,,,,,,,,,,,,,,,,
0.08,0.487572,1.063901,0.398131,,,,,,,,,,,,,,,,,,,,,
0.09,0.487524,1.063966,0.398058,,,,,,,,,,,,,,,,,,,,,
0.1,0.487479,1.064019,0.397993,,,,,,,,,,,,,,,,,,,,,
0.11,0.487272,1.064171,0.397947,,,,,,,,,,,,,,,,,,,,,
0.12,0.487227,1.064256,0.397913,,,,,,,,,,,,,,,,,,,,,
0.13,0.487201,1.064285,0.397839,,,,,,,,,,,,,,,,,,,,,
0.14,0.48719,1.064317,0.397768,,,,,,,,,,,,,,,,,,,,,
0.15,0.487203,1.064364,0.397638,,,,,,,,,,,,,,,,,,,,,
0.16,0.4872,1.064392,0.397537,,,,,,,,,,,,,,,,,,,,,
0.17,0.487175,1.064405,0.397426,,,,,,,,,,,,,,,,,,,,,
0.18,0.48717,1.064382,0.397281,,,,,,,,,,,,,,,,,,,,,
0.19,0.487162,1.064391,0.397155,,,,,,,,,,,,,,,,,,,,,
0.2,0.487162,1.064383,0.397047,,,,,,,,,,,,,,,,,,,,,
0.21,0.487169,1.064404,0.396951,,,,,,,,,,,,,,,,,,,,,
0.22,0.487184,1.064419,0.396841,,,,,,,,,,,,,,,,,,,,,
0.23,0.487198,1.06443,0.396745,,,,,,,,,,,,,,,,,,,,,
0.24,0.487502,1.0644,0.396555,,,,,,,,,,,,,,,,,,,,,
0.25,0.487489,1.064364,0.396483,,,,,,,,,,,,,,,,,,,,,
0.26,0.487503,1.064371,0.396395,,,,,,,,,,,,,,,,,,,,,
0.27,0.487508,1.064367,0.396316,,,,,,,,,,,,,,,,,,,,,
